,user_id,platform,os,browser,image,threshold
0,u1,PC, , ,1836.jpg,70
1,u1,PC, , ,857.jpg,60
2,u1,PC, , ,1421.jpg,70
3,u1,PC, , ,2015.jpg,70
4,u1,PC, , ,228.jpg,50
5,u1,PC, , ,1633.jpg,70
6,u1,PC, , ,412.jpg,60
7,u1,PC, , ,1694.jpg,70
8,u1,PC, , ,1936.jpg,60
9,u1,PC, , ,257.jpg,60
10,u1,PC, , ,1240.jpg,70
11,u1,PC, , ,703.jpg,70
12,u1,PC, , ,259.jpg,60
13,u1,PC, , ,1834.jpg,70
14,u1,PC, , ,226.jpg,50
15,u1,PC, , ,420.jpg,60
16,u1,PC, , ,417.jpg,60
17,u1,PC, , ,729.jpg,50
18,u1,PC, , ,511.jpg,50
19,u1,PC, , ,564.jpg,70
20,u1,PC, , ,974.jpg,70
21,u1,PC, , ,700.jpg,60
22,u1,PC, , ,1216.jpg,70
23,u1,PC, , ,388.jpg,60
24,u1,PC, , ,1533.jpg,70
25,u1,PC, , ,329.jpg,70
26,u1,PC, , ,575.jpg,60
27,u1,PC, , ,296.jpg,70
28,u1,PC, , ,1479.jpg,90
29,u1,PC, , ,1158.jpg,90
30,u1,PC, , ,471.jpg,90
31,u1,PC, , ,1239.jpg,80
32,u1,PC, , ,1980.jpg,60
33,u1,PC, , ,2088.jpg,60
34,u1,PC, , ,825.jpg,60
35,u1,PC, , ,1876.jpg,60
36,u1,PC, , ,1041.jpg,60
37,u1,PC, , ,1798.jpg,60
38,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,1836.jpg,60
39,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,857.jpg,70
40,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,1421.jpg,80
41,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,2015.jpg,100
42,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,228.jpg,70
43,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,1633.jpg,70
44,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,412.jpg,100
45,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,1694.jpg,70
46,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,1936.jpg,80
47,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,257.jpg,80
48,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,1240.jpg,100
49,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,703.jpg,100
50,u2,mobile,5.0 (Linux; Android 4.4.2; en-us; SAMSUNG-SGH-I337Z Build,KOT49H) AppleWebKit,259.jpg,80
