 ,image,VSI,SSIM,MDSI,FSIM,RFSIM,SR_SIM,SMSE,quality
1,1836.jpg,0.999525642,0.998051976,0.128283787,0.998329725,0.954924035,0.999301266,1.986042715,70
2,857.jpg,0.998084585,0.994920507,0.175271054,0.997087068,0.75305468,0.99561159,0.858212395,70
3,1421.jpg,0.991206609,0.965909279,0.254759911,0.976808714,0.70219152,0.986939182,4.263763456,70
4,2015.jpg,0.995960457,0.983478498,0.199146376,0.98306453,0.549448915,0.991788676,2.924411053,70
5,228.jpg,0.997460509,0.988054254,0.204471503,0.991771008,0.8540098,0.993918739,1.180508896,60
6,1633.jpg,0.999934409,0.999747999,0.092991759,0.999684493,0.982256161,0.999845349,0.224488559,70
7,412.jpg,1,1,0,1,1,1,0,100
8,1694.jpg,0.994736838,0.976695481,0.235030308,0.981572847,0.695937003,0.993206439,2.4593173,60
9,1936.jpg,0.994320015,0.983886878,0.204027451,0.95638506,0.680386278,0.990522511,0.735600355,60
10,257.jpg,0.994883788,0.96007284,0.22217365,0.981865306,0.74446299,0.991605518,3.146355375,60
11,1240.jpg,0.993540368,0.959068678,0.259799142,0.972489862,0.593242303,0.983976235,1.761330841,80
12,703.jpg,1,1,0,1,1,1,0,100
13,259.jpg,0.997884252,0.992115455,0.167432564,0.996417837,0.814086765,0.99691063,1.664909374,80
14,1834.jpg,0.999285447,0.995542316,0.152694641,0.996665896,0.908881749,0.998693427,0.807859439,60
15,226.jpg,0.997096688,0.988498519,0.19206077,0.995543914,0.725841513,0.994083489,0.600080488,60
16,420.jpg,1,1,0,1,1,1,0,100
17,417.jpg,1,1,0,1,1,1,0,100
18,729.jpg,0.994504783,0.982419346,0.226682326,0.987491615,0.826444022,0.989699796,1.675760173,60
19,511.jpg,1,1,0,1,1,1,0,100
20,564.jpg,1,1,0,1,1,1,0,100
21,974.jpg,0.997262132,0.989010574,0.188827207,0.992196562,0.77615989,0.994388199,0.851137822,70
22,700.jpg,1,1,0,1,1,1,0,100
23,1216.jpg,0.98832444,0.936611524,0.297754939,0.952125309,0.512991724,0.974722078,0.475137133,60
24,388.jpg,1,1,0,1,1,1,0,100
25,1533.jpg,0.992987382,0.960257739,0.242101241,0.979786597,0.710364075,0.990543366,3.436657922,60
26,329.jpg,0.997938984,0.991194922,0.194491747,0.990623922,0.85703059,0.995910168,1.163317092,70
27,575.jpg,1,1,0,1,1,1,0,100
28,296.jpg,0.991491345,0.987194028,0.211692996,0.994014267,0.627362035,0.986318653,0.428925307,60
29,1479.jpg,0.988662897,0.946466695,0.275661647,0.957943094,0.468088182,0.977590713,2.38570964,70
30,1158.jpg,0.992186634,0.943153282,0.286007256,0.968575055,0.713453409,0.986959597,2.331910772,80
31,471.jpg,0.997431281,0.992795818,0.191816523,0.997174087,0.716039715,0.994606633,1.615814112,60
32,1239.jpg,0.992518427,0.944569672,0.278101427,0.961472792,0.609123686,0.981174216,3.402957485,60
33,1980.jpg,0.99159986,0.983925174,0.203700196,0.979893734,0.649251891,0.992788668,2.002220302,60
34,2088.jpg,0.996808998,0.958327183,0.239901816,0.972701991,0.862133298,0.995034003,0.787762865,60
35,825.jpg,0.997412023,0.993971084,0.174878202,0.994093419,0.708363579,0.996182784,1.193432233,70
36,1876.jpg,0.998798657,0.992770854,0.159043221,0.996542093,0.951040945,0.998643373,2.314448883,50
37,1041.jpg,0.985095538,0.922546127,0.293279516,0.956833716,0.575405167,0.978058715,1.481404918,50
38,1798.jpg,0.99957216,0.996244624,0.129985289,0.998618416,0.971125051,0.999473634,0.656801624,50
39,959.jpg,0.996072268,0.98882255,0.185010008,0.995211688,0.830824924,0.993901122,0.84276331,85
40,1808.jpg,0.998632069,0.990040909,0.173858201,0.995992814,0.892214695,0.998363556,3.1742403,60
41,1945.jpg,0.992029307,0.944066185,0.25659883,0.974156492,0.68986868,0.987085557,3.811274712,65
42,1530.jpg,0.999458983,0.99877916,0.1267805,0.998698047,0.97811696,0.999480089,0.230265896,80
43,1258.jpg,0.984838018,0.900843662,0.303067345,0.953478455,0.457552504,0.977372114,5.294923647,70
44,1145.jpg,0.987564182,0.928781221,0.290611067,0.963973138,0.532599056,0.981275155,5.142369377,70
45,75.jpg,0.997932115,0.990766241,0.189838983,0.994722845,0.959484318,0.996308915,0.369585774,70
46,1261.jpg,0.990522179,0.940547215,0.266421876,0.967188146,0.654965017,0.983093267,3.111267636,60
47,812.jpg,1,1,0,1,1,1,0,100
48,1257.jpg,0.991400207,0.954065756,0.257426218,0.972914782,0.681154198,0.98629073,4.918633893,70
49,454.jpg,0.998024,0.992019564,0.173837226,0.994351812,0.834381339,0.995007897,0.988862416,95
50,1164.jpg,0.99351782,0.960644157,0.248805346,0.978945595,0.675936939,0.988717733,2.950328829,70
51,2037.jpg,0.995137869,0.969762563,0.221222588,0.983575887,0.768904664,0.991085614,2.52583639,70
52,481.jpg,0.996271688,0.983953381,0.203702416,0.989479493,0.813914183,0.993573408,1.288645241,80
53,1102.jpg,0.989235502,0.891985721,0.264789873,0.959881173,0.510647397,0.982946055,6.575192989,50
54,2190.jpg,0.991702527,0.921208951,0.273585076,0.967211712,0.619652271,0.985710203,5.600579058,60
55,375.jpg,0.994460275,0.977811033,0.20421002,0.993015723,0.807228467,0.991477252,2.639467044,70
56,1582.jpg,0.992429854,0.952245448,0.25137132,0.97702012,0.67396258,0.988025433,4.263134947,60
57,1937.jpg,0.991942749,0.947505205,0.25240314,0.976242709,0.586372976,0.988309603,3.29266682,60
58,1896.jpg,0.99603066,0.979377235,0.243293445,0.986644568,0.897215246,0.994077391,0.751787201,90
59,1671.jpg,0.993657723,0.95806309,0.245497212,0.97486263,0.63917677,0.988701259,5.188168118,60
60,1093.jpg,0.983847782,0.835999108,0.28354541,0.944612352,0.621043088,0.972193556,7.377748341,60
61,28.jpg,0.998006723,0.995298912,0.167950451,0.997486091,0.87174787,0.997224814,0.799159292,65
62,2168.jpg,0.980798372,0.967083207,0.278154596,0.974710238,0.571248126,0.986340383,8.245497222,60
63,457.jpg,0.995522213,0.985424344,0.211048283,0.990009544,0.812696249,0.992307922,1.263174549,70
64,1977.jpg,0.994080572,0.973033315,0.214666124,0.981498566,0.650648618,0.989838709,1.637691335,65
65,485.jpg,0.994643478,0.979700735,0.220429851,0.986637376,0.689609335,0.989622595,2.361577067,65
66,2106.jpg,0.999283589,0.995132577,0.155284629,0.99452136,0.964502058,0.998607656,0.424588976,50
67,1841.jpg,0.998781727,0.991891627,0.169360542,0.99607388,0.878156941,0.998544711,3.164320691,60
68,1625.jpg,0.997774136,0.994442198,0.202320706,0.992253008,0.870854782,0.997723729,0.074374567,70
69,300.jpg,0.99517257,0.991249982,0.203441975,0.992302801,0.72742786,0.994658313,1.742051832,70
70,20.jpg,0.997374441,0.987932127,0.185770028,0.994674133,0.84052759,0.996318314,1.440669538,70
71,964.jpg,0.999002626,0.993095351,0.156372369,0.996249912,0.905176833,0.998487091,0.427524936,95
72,2004.jpg,0.991977419,0.932012991,0.258007741,0.9722041,0.68996094,0.986252637,3.094092861,60
73,658.jpg,0.996759855,0.994955895,0.175254218,0.99855497,0.837674604,0.996533311,0.638963655,60
74,1819.jpg,0.998453996,0.991806473,0.171577665,0.99608099,0.896394651,0.998049875,4.212305542,60
75,908.jpg,0.997732969,0.998042484,0.156088488,0.999082162,0.809207116,0.997844228,0.368625829,70
76,651.jpg,0.9961281,0.996041391,0.172381112,0.997533048,0.671225867,0.995041639,1.151445241,60
77,609.jpg,0.997377553,0.993411974,0.186609868,0.995748913,0.854163399,0.994129919,0.756729783,85
78,931.jpg,0.995456594,0.991103944,0.193254597,0.995514924,0.713495527,0.99337032,1.750768158,75
79,1965.jpg,0.992585999,0.951362816,0.251246792,0.977326926,0.694970961,0.988083491,4.39879339,65
80,662.jpg,0.997065269,0.994450281,0.174407987,0.99858368,0.81507941,0.996555226,0.631977742,65
81,2221.jpg,0.993393522,0.972385803,0.246720407,0.981632846,0.769624522,0.988625859,2.99852402,80
82,442.jpg,0.994694066,0.980304787,0.21390651,0.98422754,0.7005285,0.991851895,2.880229427,70
83,70.jpg,0.996655456,0.988292713,0.206797679,0.988114612,0.862226801,0.994779275,1.48516037,75
84,99.jpg,0.997397362,0.990174163,0.193695899,0.992408095,0.875203258,0.994641601,1.045759017,80
85,165.jpg,0.999611192,0.998268612,0.122202116,0.999081377,0.970038091,0.999047566,0.183031571,95
86,1719.jpg,0.991852707,0.954410913,0.257668343,0.972263471,0.770335332,0.985965855,2.49241525,60
87,2063.jpg,0.996003963,0.991872676,0.175931169,0.949063101,0.674103898,0.993966726,2.11353835,70
88,999.jpg,0.995132355,0.970808921,0.227730882,0.982890259,0.771487423,0.99155417,3.342784411,60
89,1827.jpg,0.999398973,0.996238179,0.133243295,0.998374291,0.947312949,0.999242458,1.784550588,70
90,1909.jpg,0.994575371,0.960082396,0.275831914,0.968988253,0.726080541,0.987004971,2.579331561,80
91,557.jpg,0.996132948,0.985518094,0.20670672,0.989293919,0.549504458,0.992215891,0.267807046,60
92,1353.jpg,0.9964293,0.981361031,0.218618536,0.986188421,0.850220373,0.991236981,0.586047293,60
93,684.jpg,0.996914623,0.993026694,0.171813094,0.997920739,0.797211571,0.996189303,0.772234963,70
94,1846.jpg,0.998835393,0.992410688,0.166935504,0.995895804,0.89132256,0.998120153,2.07140349,60
95,33.jpg,1,1,0,1,1,1,0,100
96,1990.jpg,0.994281166,0.980016994,0.214101092,0.980579089,0.721810995,0.991868136,3.599770664,70
97,1821.jpg,0.998724912,0.990741178,0.166103215,0.996444991,0.927998359,0.998535286,2.354681575,65
98,426.jpg,0.997355247,0.994795,0.169834465,0.998150827,0.832262115,0.996648962,0.802373415,75
99,364.jpg,0.997503461,0.990699498,0.193449012,0.991953386,0.90757721,0.995178439,0.936881023,70
100,1186.jpg,0.985935341,0.921466906,0.300950992,0.946229722,0.555474462,0.972750332,2.841271072,75
101,561.jpg,0.999580134,0.999600295,0.117148866,0.999562247,0.931234346,0.999431317,1.082824845,70
102,534.jpg,0.997746977,0.992586536,0.163404295,0.995820015,0.899042923,0.997822705,0.745319265,60
103,735.jpg,0.995656546,0.993350132,0.194887442,0.996052429,0.758310477,0.995021472,1.218756307,75
104,1797.jpg,0.998909704,0.989282964,0.167836882,0.994973901,0.937792752,0.998087062,1.80039182,65
105,1706.jpg,0.98989159,0.915410956,0.28525771,0.959710917,0.661796682,0.982432819,3.84752851,60
106,2146.jpg,0.989088242,0.950300733,0.282462609,0.969428715,0.691769641,0.985999751,4.803566372,60
107,669.jpg,0.998227576,0.993010538,0.161734507,0.997223717,0.869717168,0.99722473,0.711145429,70
108,498.jpg,0.998328543,0.985134373,0.187298227,0.993367704,0.891915884,0.997023933,2.492036289,70
109,484.jpg,0.994707579,0.980472515,0.228552255,0.985795597,0.779574346,0.990095105,1.843311809,65
110,2178.jpg,0.996735539,0.991163292,0.221736255,0.985849115,0.743250694,0.993610644,0.902420306,60
111,1464.jpg,0.991580714,0.958267942,0.26236512,0.971100459,0.738905443,0.984557921,2.901743464,60
112,1157.jpg,0.994460464,0.967348952,0.251217186,0.976190651,0.677428481,0.987773078,3.398529718,70
113,1761.jpg,0.986834436,0.939618231,0.288302697,0.963684885,0.663991323,0.982701188,3.53234582,65
